"id";"name";"village_id"
608;"Olo-Olo";128
609;"Louba Leten";129
610;"Zobelis";129
611;"Gumer";129
612;"Sordoli";129
613;"Lica Ubu";130
614;"Maleubu";130
615;"Hatu-Udu";130
616;"Nunupa";130
617;"Atulara";130
618;"Taimea";131
619;"Malilait";131
620;"Malilu";131
621;"Omelai";132
622;"Molop Taz";132
623;"Lonlolo";132
624;"Leobalu";132
625;"Sibuni";133
626;"Mapeop";133
627;"Holmesel";133
628;"Atupae";134
629;"Bugas";134
630;"Tebabui";134
631;"Mologuen";135
632;"Oeleo Taz";135
633;"Maliana";136
634;"Genuha'an";136
635;"Galusapulu";136
636;"Aculaka";136
637;"Lahomea";136
638;"Raifun Foho";137
639;"Raifun Villa";137
640;"Nunutana";137
641;"Moleana";138
642;"Uat";138
643;"Daitete";138
644;"Timatan";138
645;"Ritabou";138
646;"Riti-Udo";138
647;"Samelaun";138
648;"Diruaben";138
649;"Ma'Ahui";138
650;"Maganutu";138
651;"Halecou";138
652;"Corluli";138
653;"Anahun";139
654;"Genuha'an";139
655;"Raimaten";139
656;"Rocon";139
657;"Taz";140
658;"Bilicou";140
659;"Solugolo";140
660;"Secar";140
661;"Loloa";140
662;"Oplegul";140
663;"Tunubibi";141
664;"Uluatin";141
665;"Manu Aman";141
666;"Pipgalag 1";141
667;"Pipgalag II";141
668;"Lepguen";141
669;"Taz Masak";142
670;"Cossal";142
671;"Mabiloa";142
672;"Oho Ana";143
673;"Daru Asa";143
674;"Lete Aitutu";143
675;"Mude";144
676;"Lia Bote";144
677;"Bere Leu";144
678;"Dau Lelo";144
679;"Sae Heu";145
680;"Cauloco Lete";145
681;"Ilat Bote";146
682;"Suriubu";146
683;"Malilia";146
684;"Atubuti";147
685;"Tuturema";147
686;"Bia Teho";147
687;"Nuapo";147
688;"Melemaga";148
689;"Tirimoso";148
690;"Bia Boro";148
691;"Lesupu";149
692;"Heda";149
693;"Tapo Meac";150
694;"Tatelori";150
695;"Lugululi";150
696;"Gildapil";151
697;"Atus";151
698;"Mabelis";152
699;"Mapelai";152
700;"Tasmin";153
701;"Piron";153
702;"Ozo";153
703;"Boutal";154
704;"Oelaca";154
705;"Gole";154
706;"Zoilpo";155
707;"Guda Taz";155
708;"Oceli";155
709;"Anon";155
710;"Mape";156
711;"Raimea";156
712;"Tepa";156
713;"Lupal Taz";157
714;"Silagolo";157
715;"Dilai";157
716;"Subalesu";158
717;"Palaka";158
718;"Caco";158
719;"Duaderok";159
720;"Faturui";159
721;"Raifatuk";159
722;"Bour";159
723;"Batugede";160
