"id";"name";"reg_number";"start_date";"email";"phone";"website";"address";"type";"city";"lat";"lng";"is_active";"datetime";"hashed";"country_id";"municipality_id";"user_id"
76;"Prudencia Construction Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:55:29.048923";"fbd7939d674997cdb4692d34de8633c4";1;1;1
77;"Rafio Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:57:58.505393";"28dd2c7955ce926456240b2ff0100bde";1;1;1
78;"Sevestardini Unip. Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 13:01:25.276807";"35f4a8d465e6e1edc05f3d8ab658c551";1;1;1
79;"Jufado Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 13:02:28.447493";"d1fe173d08e959397adf34b1d77e88d7";1;1;1
80;"Sorte Nevis Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 13:06:38.940265";"f033ab37c30201f73f142449d037028d";1;1;1
81;"Sembuhan Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 13:06:48.901815";"43ec517d68b6edd3015b3edc9a11367b";1;1;1
82;"Unidade Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 13:10:06.245851";"9778d5d219c5080b9a6a17bef029331c";1;1;1
83;"Hilobadi Consultant";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 05:18:46.225431";"fe9fc289c3ff0af142b6d3bead98a923";1;1;1
84;"PT. Siar Plan";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 05:18:52.341559";"68d30a9594728bc39aa24be94b319d21";1;1;1
85;"Kiat Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 06:51:40.938126";"3ef815416f775098fe977004015c6193";1;1;1
86;"PT Purnajasa Bimapratama";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 06:51:51.851137";"93db85ed909c13838ff95ccfa94cebd9";1;1;1
87;"Lelo Engineering Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 07:20:29.582477";"c7e1249ffc03eb9ded908c236bd1996d";1;1;1
88;"PT. Multi Karadiguna Jasa";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 07:20:50.005228";"2a38a4a9316c49e5a833517c45d31070";1;1;1
89;"PT. Cipta Design Indonesia";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 07:21:06.196730";"7647966b7343c29048673252e490f736";1;1;1
90;"Niceles Consultant Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 07:28:48.588307";"8613985ec49eb8f757ae6439e879bb2a";1;1;1
91;"Raya Consulting Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-20 07:49:34.813957";"54229abfcfa5649e7003b83dd4755294";1;1;1
92;"Triangle Architech Consultant Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:14:48.899945";"92cc227532d17e56e07902b254dfad10";1;1;1
93;"ATT Consult. Co. Ltd.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:14:56.964749";"98dce83da57b0395e163467c9dae521b";1;1;1
94;"TEAM Consulting and Management PCL ATT Consultants Co. Ltd.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:15:03.675911";"f4b9ec30ad9f68f89b29639786cb62ef";1;1;1
95;"Ailesu Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:26:11.652205";"812b4ba287f5ee0bc9d43bbf5bbe87fb";1;1;1
96;"Aspalink Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:31:23.925103";"26657d5ff9020d2abefe558796b99584";1;1;1
97;"Vox da Vinci Consulting Engineering Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:32:36.508925";"e2ef524fbf3d9fe611d5a8e90fefdc9c";1;1;1
98;"PT ITS Tekno Sains";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:46:29.129511";"ed3d2c21991e3bef5e069713af9fa6ca";1;1;1
99;"Mgiel Extractive Industries Professional Engineering Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:46:43.903965";"ac627ab1ccbdb62ec96e702f07f6425b";1;1;1
100;"Alifa Pereira Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 00:49:36.468210";"f899139df5e1059396431415e770c6dd";1;1;1
101;"Hedge Construction Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 01:21:13.290773";"38b3eff8baf56627478ec76a704e9b52";1;1;1
102;"Jor-K9 Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 01:59:46.230339";"ec8956637a99787bd197eacd77acce5e";1;1;1
103;"Ladiza Adiza JT Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 02:10:54.763844";"6974ce5ac660610b44d9b9fed0ff9548";1;1;1
104;"Rosario Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 02:17:42.215188";"c9e1074f5b3f9fc8ea15d152add07294";1;1;1
105;"Santana Diak Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 02:43:16.980087";"65b9eea6e1cc6bb9f0cd2a47751a186f";1;1;1
106;"Sanford Construction Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 02:45:34.241492";"f0935e4cd5920aa6c7c996a5ee53a70f";1;1;1
107;"Telafinosegra Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 03:00:33.637213";"a97da629b098b75c294dffdc3e463904";1;1;1
108;"Montana Diak Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 03:29:25.708820";"a3c65c2974270fd093ee8a9bf8ae7d0b";1;1;1
109;"Monte Veado Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 03:39:04.853789";"2723d092b63885e0d7c260cc007e8b9d";1;1;1
110;"Natureza Timor Naroman (NTN) Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 06:07:38.505024";"5f93f983524def3dca464469d2cf9f3e";1;1;1
111;"Star King Construcao Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 06:24:26.893227";"698d51a19d8a121ce581499d7b701668";1;1;1
112;"Tinolina Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 06:29:09.458671";"7f6ffaa6bb0b408017b62254211691b5";1;1;1
113;"Banir Lema Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:01:33.711301";"73278a4a86960eeb576a8fd4c9ec6997";1;1;1
114;"Delatina Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:02:56.975761";"5fd0b37cd7dbbb00f97ba6ce92bf5add";1;1;1
115;"Delong Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:03:20.052876";"2b44928ae11fb9384c4cf38708677c48";1;1;1
116;"Costa Key Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:04:05.683243";"c45147dee729311ef5b5c3003946c48f";1;1;1
117;"Hatu - Wari Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:05:01.754093";"eb160de1de89d9058fcb0b968dbbbd68";1;1;1
118;"Juniga Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:06:18.006693";"5ef059938ba799aaa845e1c2e8a762bd";1;1;1
119;"Kevkel Brother Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:06:47.863712";"07e1cd7dca89a1678042477183b7ac3f";1;1;1
120;"Lamegua Star. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:07:22.724196";"da4fb5c6e93e74d3df8527599fa62642";1;1;1
121;"Lesu Boro Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:07:47.528721";"4c56ff4ce4aaf9573aa5dff913df997a";1;1;1
122;"My Friend Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-21 13:08:13.107170";"a0a080f42e6f13b3a2df133f073095dd";1;1;1
123;"Rozi Construction Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:02:04.821179";"202cb962ac59075b964b07152d234b70";1;1;1
124;"Rozi Construction Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:02:05.273471";"c8ffe9a587b126f152ed3d89a146b445";1;1;1
125;"Chacailala Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:16:37.299995";"3def184ad8f4755ff269862ea77393dd";1;1;1
126;"Juga Te Figa Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:22:20.851961";"069059b7ef840f0c74a814ec9237b6ec";1;1;1
127;"Contract Amendment No. 1";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:26:00.449333";"ec5decca5ed3d6b8079e2e7e7bacc9f2";1;1;1
128;"As Jazesia  Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:27:08.232334";"76dc611d6ebaafc66cc0879c71b5db5c";1;1;1
129;"Adahiak Orlao Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:35:40.812903";"d1f491a404d6854880943e5c3cd9ca25";1;1;1
130;"Sun Rise Golden Construction 02 Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:39:02.161986";"9b8619251a19057cff70779273e95aa6";1;1;1
131;"Gimso Brother's Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:45:34.768549";"1afa34a7f984eeabdbb0a7d494132ee5";1;1;1
132;"JV Heavy Duty Service Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:46:15.472993";"65ded5353c5ee48d0b7d48c591b8f430";1;1;1
