"id";"start_lat";"start_lng";"end_lat";"end_lng";"administrativepost_id";"aldeia_id";"municipality_id";"project_id";"village_id"
606;"-8.589628";"125.629232";"";"";29;0;6;606;0
607;"-8.565337";"125.631348";"";"";29;0;6;607;202
608;"-8.560882425";"125.5382802";"";"";30;0;6;608;208
609;"-8.549888";"125.688634";"";"";29;0;6;609;204
610;"-8.589713567";"125.5705422";"";"";0;0;6;610;226
611;"-8.554279638";"125.5269177";"";"";30;0;6;611;208
612;"-8.561290562";"125.5410482";"";"";30;0;6;612;208
613;"";"";"";"";2;0;1;613;13
614;"-8.57432192";"125.5422666";"";"";30;0;6;614;0
615;"-8.557740714";"125.5264454";"";"";30;0;6;615;208
616;"-8.556033";"125.575082";"";"";30;0;6;616;0
617;"-8.558345";"125.591715";"";"";0;0;6;617;216
618;"-8.632473";"125.515218";"";"";2;0;6;618;14
619;"-8.605298";"125.527327";"";"";30;0;6;619;0
620;"-8.421478";"126.771594";"";"";42;0;8;620;0
621;"-8.395427942";"127.2550303";"";"";40;0;8;621;286
622;"-8.4008";"127.282128";"";"";40;0;8;622;286
623;"-8.351192";"126.918673";"";"";43;0;8;623;0
624;"-8.381088554";"127.014";"";"";43;0;8;624;304
625;"-8.380344";"127.014768";"";"";43;0;8;625;304
626;"-8.983709086";"125.2113321";"";"";17;0;4;626;140
627;"-8.996707";"125.036722";"";"";20;0;4;627;0
628;"-9.064317";"125.260322";"";"";16;0;4;628;135
629;"-8.849180668";"125.060276";"";"";15;0;4;629;117
630;"-8.953699";"125.211722";"";"";17;0;4;630;138
631;"-9.045066099";"125.3587268";"";"";16;0;4;631;128
632;"-8.964084193";"124.9652653";"";"";20;0;4;632;160
633;"-9.108657";"125.4076782";"";"";22;0;5;633;176
634;"-9.135175";"125.4339";"";"";22;0;5;634;174
635;"-8.987936";"125.221557";"";"";17;0;4;635;138
636;"-8.993655";"125.229029";"";"";16;0;4;636;118
637;"-8.667083887";"126.3696996";"";"";59;0;12;637;63
638;"-8.874091703";"126.5074233";"";"";0;0;12;638;404
639;"-8.835047454";"126.5190252";"";"";0;0;12;639;98
